Date,S&P 500,NASDAQ,Dow Jones
1998-04-01 00:00:00-05:00,1111.75,1868.4100341796875,9063.3701171875
1998-05-01 00:00:00-04:00,1090.8199462890625,1778.8699951171875,8899.9501953125
1998-06-01 00:00:00-04:00,1133.8399658203125,1894.739990234375,8952.01953125
1998-07-01 00:00:00-04:00,1120.6700439453125,1872.3900146484375,8883.2900390625
1998-08-01 00:00:00-04:00,957.280029296875,1499.25,7539.06982421875
1998-09-01 00:00:00-04:00,1017.010009765625,1693.8399658203125,7842.6201171875
1998-10-01 00:00:00-04:00,1098.6700439453125,1771.3900146484375,8592.099609375
1998-11-01 00:00:00-05:00,1163.6300048828125,1949.5400390625,9116.5498046875
1998-12-01 00:00:00-05:00,1229.22998046875,2192.68994140625,9181.4296875
1999-01-01 00:00:00-05:00,1279.6400146484375,2505.889892578125,9358.830078125
1999-02-01 00:00:00-05:00,1238.3299560546875,2288.030029296875,9306.580078125
1999-03-01 00:00:00-05:00,1286.3699951171875,2461.39990234375,9786.16015625
1999-04-01 00:00:00-05:00,1335.1800537109375,2542.860107421875,10789.0400390625
1999-05-01 00:00:00-04:00,1301.8399658203125,2470.52001953125,10559.740234375
1999-06-01 00:00:00-04:00,1372.7099609375,2686.1201171875,10970.7998046875
1999-07-01 00:00:00-04:00,1328.719970703125,2638.489990234375,10655.150390625
1999-08-01 00:00:00-04:00,1320.4100341796875,2739.35009765625,10829.2802734375
1999-09-01 00:00:00-04:00,1282.7099609375,2746.159912109375,10336.9501953125
1999-10-01 00:00:00-04:00,1362.9300537109375,2966.429931640625,10729.8603515625
1999-11-01 00:00:00-05:00,1388.9100341796875,3336.159912109375,10877.8095703125
1999-12-01 00:00:00-05:00,1469.25,4069.31005859375,11497.1201171875
2000-01-01 00:00:00-05:00,1394.4599609375,3940.35009765625,10940.5302734375
2000-02-01 00:00:00-05:00,1366.4200439453125,4696.68994140625,10128.3095703125
2000-03-01 00:00:00-05:00,1498.5799560546875,4572.830078125,10921.919921875
2000-04-01 00:00:00-05:00,1452.4300537109375,3860.659912109375,10733.91015625
2000-05-01 00:00:00-04:00,1420.5999755859375,3400.909912109375,10522.330078125
2000-06-01 00:00:00-04:00,1454.5999755859375,3966.110107421875,10447.8896484375
2000-07-01 00:00:00-04:00,1430.8299560546875,3766.989990234375,10521.98046875
2000-08-01 00:00:00-04:00,1517.6800537109375,4206.35009765625,11215.099609375
2000-09-01 00:00:00-04:00,1436.510009765625,3672.820068359375,10650.919921875
2000-10-01 00:00:00-04:00,1429.4000244140625,3369.6298828125,10971.1396484375
2000-11-01 00:00:00-05:00,1314.949951171875,2597.929931640625,10414.490234375
2000-12-01 00:00:00-05:00,1320.280029296875,2470.52001953125,10787.990234375
2001-01-01 00:00:00-05:00,1366.010009765625,2772.72998046875,10887.3603515625
2001-02-01 00:00:00-05:00,1239.93994140625,2151.830078125,10495.2802734375
2001-03-01 00:00:00-05:00,1160.3299560546875,1840.260009765625,9878.7802734375
2001-04-01 00:00:00-05:00,1249.4599609375,2116.239990234375,10734.9697265625
2001-05-01 00:00:00-04:00,1255.8199462890625,2110.489990234375,10911.9404296875
2001-06-01 00:00:00-04:00,1224.3800048828125,2160.5400390625,10502.400390625
