,ACWI IMI,ACWI,World,Emerging Markets,Europe,North America,S&P 500,NASDAQ,Dow Jones,70/30
1997-06,140.8676740976159,232.081,939.746,554.125,983.669,905.807,492.7573292813122,517.427299291909,234.8073543880873,310.2181014949342
1997-07,146.2460718851386,242.237,981.845,561.319,1028.33,975.643,531.2642496342239,571.8729776767266,251.632638621737,321.1544007046709
1997-08,137.4980263928573,224.917,914.974,489.238,968.114,916.914,500.734813924836,569.5442686632995,233.26498810302874,293.4711073372853
1997-09,143.8492215074793,236.582,963.489,502.045,1060.528,963.931,527.3506672311589,604.8402825881622,243.1465533375586,306.6683821844976
1997-10,135.31687217646848,222.174,911.569,419.257,1006.861,935.521,509.1688305157425,571.801189648946,227.74735161921265,279.9294427668357
1997-11,135.61711512114127,225.256,926.496,403.668,1020.833,975.975,531.8710674407367,574.2913450750632,239.4069288659964,280.01560812751376
1997-12,136.7618072638929,227.875,936.591,412.465,1056.662,989.723,540.2382487874856,563.4552948707476,242.01425843432767,283.98200752130765
1998-01,139.12937185814476,232.576,961.488,379.797,1099.164,999.876,545.7217628738543,581.0405146838053,241.95917979447717,282.5187165690826
1998-02,148.8387550231485,248.164,1025.297,419.232,1183.552,1069.509,584.1674204178103,635.27446437656,261.52094299532615,304.4435604149145
1998-03,154.72112294426532,258.389,1067.354,436.016,1266.257,1124.936,613.344079525446,658.6580456793483,269.2967439423769,316.84174045346583
1998-04,155.8999393911613,260.455,1076.53,430.407,1289.193,1136.57,618.9110782050507,670.401848705965,277.3623726969534,317.52567826243984
1998-05,152.49107420253537,255.141,1061.791,370.098,1313.687,1112.994,607.2593200677662,638.2741001804336,272.36130392329216,301.13496883608207
1998-06,153.79263628075645,259.395,1085.737,330.521,1326.452,1155.308,631.2085592604699,679.8492670416084,273.9547591583368,296.22820346661507
1998-07,152.58198746059153,259.118,1082.741,339.834,1351.032,1139.632,623.8768654916078,671.8299004800687,271.85146040953794,298.16003405480797
1998-08,130.00494038433132,222.452,937.092,240.312,1179.439,976.194,532.9176659107635,537.9440022723386,230.71487397473751,243.88907254631494
1998-09,132.60653658685652,226.527,952.393,254.87,1130.577,1037.683,566.1693381509981,607.7645825727665,240.0042915315695,251.10906583710886
1998-10,143.87723399595603,246.874,1037.208,281.402,1219.372,1117.655,611.6294683964775,635.5902178190674,262.9402863715706,274.60490803080233
1998-11,151.8029856219536,261.527,1097.621,304.528,1282.573,1191.049,647.7926700731008,699.5120034707037,278.9898075378092,292.5713357293718
1998-12,158.83997738628202,273.301,1149.952,298.973,1336.97,1258.043,684.3121678200022,786.7563133716043,280.9752983656691,300.73446234327315
1999-01,161.64912066252083,278.551,1173.844,293.914,1326.7,1312.754,712.375427191717,899.135192974672,286.4042053423143,303.5815712613496
1999-02,156.9542275938291,271.211,1141.327,296.565,1291.35,1273.341,689.378123027137,820.9651701045569,284.8052213235624,298.516308622648
1999-03,163.83485874066037,283.043,1187.545,334.745,1303.738,1324.885,716.1220064300466,883.1717956708621,299.4816018141583,318.5075582951755
1999-04,171.97146800719156,294.915,1233.057,375.665,1340.883,1374.477,743.29455960433,912.4004291513705,330.17229856717086,338.73272482011834
1999-05,166.55359807681532,284.107,1186.701,372.33,1274.783,1340.875,724.7341370778286,886.4441734204279,323.1551364006976,328.9164755414963
