,ACWI IMI IMI (Large+Mid+Small Cap),ACWI Standard (Large+Mid Cap),WORLD Standard (Large+Mid Cap),EM (EMERGING MARKETS) Standard (Large+Mid Cap),EUROPE Standard (Large+Mid Cap),NORTH AMERICA Standard (Large+Mid Cap),S&P 500,NASDAQ,Dow Jones
1996-08,464.962,187.894,758.902,477.132,782.207,666.689,362.9627414750236,409.5801758171582,171.87043011471704
1996-09,479.326,194.511,787.436,480.616,797.231,702.334,382.63652975918245,440.2296340891078,180.00948709398835
1996-10,477.993,194.976,791.751,467.432,814.284,721.099,392.62372674952377,438.28846654596873,184.51448948518728
1996-11,498.882,205.077,834.929,474.708,854.069,774.373,421.43294491647805,463.7997591443778,199.58075382575024
1996-12,491.633,201.784,820.362,476.315,869.129,757.893,412.36985475651517,463.23285710437585,197.33360210195391
1997-01,496.462,204.858,829.082,508.415,870.096,807.845,437.6551532453659,495.10223004975006,208.49802446845413
1997-02,500.888,207.339,837.440,529.859,880.185,811.743,440.24939365788913,469.68063963614554,210.47649224674007
1997-03,488.349,202.842,819.678,514.608,907.148,774.018,421.48860131196875,438.3566191824706,201.4713737137266
1997-04,496.631,208.993,845.281,513.702,901.196,822.065,446.1058871418776,452.3717095602688,214.4933777498881
1997-05,529.600,221.109,896.244,527.013,938.207,868.632,472.23738030307254,502.44703442956444,224.3474036644928
1997-06,553.162,232.081,939.746,554.125,983.669,905.807,492.7573292813122,517.427299291909,234.8073543880873
1997-07,574.282,242.237,981.845,561.319,"1,028.330",975.643,531.2642496342239,571.8729776767266,251.632638621737
1997-08,539.930,224.917,914.974,489.238,968.114,916.914,500.734813924836,569.5442686632995,233.26498810302874
1997-09,564.870,236.582,963.489,502.045,"1,060.528",963.931,527.3506672311589,604.8402825881622,243.1465533375586
1997-10,531.365,222.174,911.569,419.257,"1,006.861",935.521,509.1688305157425,571.801189648946,227.74735161921265
1997-11,532.544,225.256,926.496,403.668,"1,020.833",975.975,531.8710674407367,574.2913450750632,239.4069288659964
1997-12,537.039,227.875,936.591,412.465,"1,056.662",989.723,540.2382487874856,563.4552948707476,242.01425843432767
1998-01,546.336,232.576,961.488,379.797,"1,099.164",999.876,545.7217628738543,581.0405146838053,241.95917979447717
1998-02,584.463,248.164,"1,025.297",419.232,"1,183.552","1,069.509",584.1674204178103,635.27446437656,261.52094299532615
1998-03,607.562,258.389,"1,067.354",436.016,"1,266.257","1,124.936",613.344079525446,658.6580456793483,269.2967439423769
1998-04,612.191,260.455,"1,076.530",430.407,"1,289.193","1,136.570",618.9110782050507,670.401848705965,277.3623726969534
1998-05,598.805,255.141,"1,061.791",370.098,"1,313.687","1,112.994",607.2593200677662,638.2741001804336,272.36130392329216
1998-06,603.916,259.395,"1,085.737",330.521,"1,326.452","1,155.308",631.2085592604699,679.8492670416084,273.9547591583368
1998-07,599.162,259.118,"1,082.741",339.834,"1,351.032","1,139.632",623.8768654916078,671.8299004800687,271.85146040953794
1998-08,510.506,222.452,937.092,240.312,"1,179.439",976.194,532.9176659107635,537.9440022723386,230.71487397473751
1998-09,520.722,226.527,952.393,254.870,"1,130.577","1,037.683",566.1693381509981,607.7645825727665,240.0042915315695
1998-10,564.980,246.874,"1,037.208",281.402,"1,219.372","1,117.655",611.6294683964775,635.5902178190674,262.9402863715706
